Asset ID,Plant,Equipment Installation Date,Last Inspection Date,,Asset Type,Last Inspection Comment,Work Order Rasised Date,Type of Corrosion,Work Order Comment (WO),Type of Work Order (WO),Resolution Comment ,Timeline (in hrs),Approval time (in hrs),Production Loss (in %),Rate of Corrosion (mpy),Equipmet Criticality,Next Planned Manitenance Date
AS0001,Plant-A,27-12-2000,19-12-2019,,4 inch pipe,High Corrosion,,Stress,Stress corrosion was found with 0.35 degradation of  4 inch pipe on 0.55 of surface area,Retrofitment,The affected area will be repaired and reinforced.,5,2,20,87,Low,19-09-2023
AS0002,Plant-A,05-12-1999,20-12-2019,,4 inch pipe,Equipment deformation Seen,21-01-2015,Erosion,Erosion corrosion was found with 0.6 degradation of  4 inch pipe on 0.4 of surface area,Replacement,The pipe will be replaced to address the erosion corrosion issue.,7,3,50,177,Low,20-09-2023
AS0003,Plant-A,21-12-2000,21-12-2019,,4 inch pipe,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,High,21-09-2023
AS0004,Plant-B,26-04-1999,22-12-2019,,4 inch pipe,NA,,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,510,Low,22-09-2023
AS0005,Plant-B,01-12-1999,23-12-2019,,4 inch pipe,NA,05-04-2017,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,353,High,23-09-2023
AS0006,Plant-B,19-04-1999,24-12-2019,,4 inch pipe,High Corrosion,,Pitting,Pitting corrosion was found with 0.32 degradation of  4 inch pipe on 0.62 of surface area,Retrofitment,The corroded areas will be treated and reinforced.,6,2,,83,Low,24-09-2023
AS0007,Plant-C,01-12-2000,25-12-2019,,4 inch pipe,Equipment deformation Seen,20-09-2016,Erosion,Erosion corrosion was found with 0.53 degradation of  4 inch pipe on 0.38 of surface area,Replacement,The pipe will be replaced to address the erosion corrosion issue.,8,4,,312,Low,25-09-2023
AS0008,Plant-C,19-07-2001,26-12-2019,,4 inch pipe,No Issue seen,31-01-2008,Stress,Stress corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,High,26-09-2023
AS0009,Plant-C,24-10-2000,27-12-2019,,4 inch pipe,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Medium,27-09-2023
AS0001,Plant-A,14-01-1999,28-12-2019,,4 inch pipe,NA,14-04-2017,Fatigue,Fatigue corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,141,Medium,28-09-2023
AS0002,Plant-A,15-05-2001,29-12-2019,,4 inch pipe,NA,28-02-2010,Stress,Stress corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,170,Medium,29-09-2023
AS0003,Plant-A,17-01-1999,30-12-2019,,4 inch pipe,NA,07-12-2013,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,102,High,30-09-2023
AS0004,Plant-B,21-05-2001,31-12-2019,,4 inch pipe,NA,28-03-2007,Stress,Stress corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,584,Medium,01-10-2023
AS0005,Plant-B,06-07-1999,01-01-2020,,4 inch pipe,High Corrosion,,Stress,Stress corrosion was found with 0.3 degradation of  4 inch pipe on 0.64 of surface area,Retrofitment,The affected area will be repaired and reinforced.,5,2,,76,Medium,02-10-2023
AS0006,Plant-B,05-09-2000,02-01-2020,,4 inch pipe,No Issue seen,16-01-2011,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Low,03-10-2023
AS0007,Plant-C,25-09-2000,03-01-2020,,4 inch pipe,High Corrosion,24-01-2009,Atmospheric,Atmospheric corrosion was found with 0.27 degradation of  4 inch pipe on 0.48 of surface area,Retrofitment,The affected area will be treated and reinforced.,6,2,,79,High,04-10-2023
AS0008,Plant-C,01-11-2000,04-01-2020,,4 inch pipe,NA,17-09-2007,Erosion,Erosion corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,573,Medium,05-10-2023
AS0009,Plant-C,21-11-1999,05-01-2020,,4 inch pipe,No Issue seen,01-10-2013,Erosion,Erosion corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Low,06-10-2023
AS0001,Plant-A,14-07-2001,06-01-2020,,4 inch pipe,No Issue seen,18-11-2017,Erosion,Erosion corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Low,07-10-2023
AS0002,Plant-A,23-07-1999,07-01-2020,,4 inch pipe,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Low,08-10-2023
AS0003,Plant-A,10-07-2001,08-01-2020,,4 inch pipe,No Issue seen,10-08-2009,Atmospheric,Atmospheric corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,High,09-10-2023
AS0004,Plant-B,09-05-2001,09-01-2020,,4 inch pipe,Equipment deformation Seen,14-09-2011,Pitting,Pitting corrosion was found with 0.42 degradation of  4 inch pipe on 0.57 of surface area,Replacement,The affected area will be treated and the pipe will be replaced.,7,3,,411,Low,10-10-2023
AS0005,Plant-B,03-04-2001,10-01-2020,,4 inch pipe,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.25 degradation of  4 inch pipe on 0.3 of surface area,Retrofitment,The affected area will be treated and reinforced.,5,2,,83,Low,11-10-2023
AS0006,Plant-B,04-08-2001,11-01-2020,,4 inch pipe,No Issue seen,,Erosion,Erosion corrosion was found with 0 degradation of  4 inch pipe on 0 of surface area,NA,,,,,0,Low,12-10-2023
AS0007,Plant-C,20-01-2000,12-01-2020,,4 inch pipe,Sign of Corrosion,06-09-2007,Pitting,Pitting corrosion was found with 0.11 degradation of  4 inch pipe on 0.52 of surface area,Maintenance,Regular maintenance will be performed on the corroded areas.,3,1,,9,Medium,13-10-2023
AS0008,Plant-C,25-03-1999,13-01-2020,,4 inch pipe,High Corrosion,06-10-2007,Pitting,Pitting corrosion was found with 0.35 degradation of  4 inch pipe on 0.36 of surface area,Retrofitment,The affected area will be treated and reinforced.,6,2,,82,Medium,14-10-2023
AS0009,Plant-C,26-08-1999,14-01-2020,,4 inch pipe,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.19 degradation of  4 inch pipe on 0.33 of surface area,Maintenance,Regular maintenance will be performed on the corroded areas.,3,1,,7,Medium,15-10-2023
AS0010,Plant-A,01-07-2000,15-01-2020,,6 inch pipe,Sign of Corrosion,26-04-2016,Atmospheric,Atmospheric corrosion was found with 0.25 degradation of  6 inch pipe on 0.41 of surface area,Maintenance,The affected area will be treated and reinforced.,5,2,,10,Low,16-10-2023
AS0011,Plant-A,02-12-2000,16-01-2020,,6 inch pipe,High Corrosion,06-03-2010,Stress,Stress corrosion was found with 0.27 degradation of  6 inch pipe on 0.39 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,94,Medium,17-10-2023
AS0012,Plant-A,11-12-1999,17-01-2020,,6 inch pipe,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.09 degradation of  6 inch pipe on 0.43 of surface area,Maintenance,The pipe will be replaced to address the erosion corrosion issue.,7,3,,6,High,18-10-2023
AS0013,Plant-A,06-02-2000,18-01-2020,,6 inch pipe,No Issue seen,11-12-2014,Erosion,Erosion corrosion was found with 0 degradation of  6 inch pipe on 0 of surface area,NA,,,,,0,Medium,19-10-2023
AS0014,Plant-B,03-10-1999,19-01-2020,,6 inch pipe,Sign of Corrosion,18-08-2007,Fatigue,Fatigue corrosion was found with 0.11 degradation of  6 inch pipe on 0.38 of surface area,Maintenance,Regular maintenance will be performed to address the fatigue corrosion.,3,1,,5,High,20-10-2023
AS0015,Plant-B,28-05-1999,20-01-2020,,6 inch pipe,No Issue seen,08-03-2010,Atmospheric,Atmospheric corrosion was found with 0 degradation of  6 inch pipe on 0 of surface area,NA,,,,,0,High,21-10-2023
AS0016,Plant-B,29-07-2001,21-01-2020,,6 inch pipe,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.45 degradation of  6 inch pipe on 0.43 of surface area,Replacement,The affected section of the pipe will be replaced to prevent further damage.,7,3,,553,High,22-10-2023
AS0017,Plant-C,04-05-1999,22-01-2020,,6 inch pipe,Equipment deformation Seen,25-04-2013,Atmospheric,Atmospheric corrosion was found with 0.54 degradation of  6 inch pipe on 0.55 of surface area,Replacement,The affected section of the pipe will be replaced to address corrosion.,7,3,,330,High,23-10-2023
AS0018,Plant-C,18-02-2001,23-01-2020,,6 inch pipe,High Corrosion,,Erosion,Erosion corrosion was found with 0.29 degradation of  6 inch pipe on 0.61 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,93,Low,24-10-2023
AS0019,Plant-C,26-12-2000,24-01-2020,,6 inch pipe,Equipment deformation Seen,24-11-2013,Stress,Stress corrosion was found with 0.43 degradation of  6 inch pipe on 0.46 of surface area,Replacement,The affected area will be treated and reinforced.,7,3,,317,High,25-10-2023
AS0010,Plant-A,03-12-1998,25-01-2020,,6 inch pipe,Equipment deformation Seen,18-06-2007,Atmospheric,Atmospheric corrosion was found with 0.42 degradation of  6 inch pipe on 0.47 of surface area,Replacement,The affected area will be treated and reinforced.,7,3,,278,High,26-10-2023
AS0011,Plant-A,17-07-2000,26-01-2020,,6 inch pipe,High Corrosion,,Pitting,Pitting corrosion was found with 0.35 degradation of  6 inch pipe on 0.52 of surface area,Retrofitment,The affected area will be treated and reinforced.,6,2,,43,Medium,27-10-2023
AS0012,Plant-A,31-05-2001,27-01-2020,,6 inch pipe,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.47 degradation of  6 inch pipe on 0.41 of surface area,Replacement,The affected area will be treated and reinforced.,7,3,,166,Low,28-10-2023
AS0013,Plant-A,09-10-2000,28-01-2020,,6 inch pipe,NA,17-03-2009,Atmospheric,Atmospheric corrosion was found with 0 degradation of  6 inch pipe on 0 of surface area,NA,,,,,244,Medium,29-10-2023
AS0014,Plant-B,01-01-2000,29-01-2020,,6 inch pipe,NA,,Stress,Stress corrosion was found with 0 degradation of  6 inch pipe on 0 of surface area,NA,,,,,438,Medium,30-10-2023
AS0015,Plant-B,23-01-2001,30-01-2020,,6 inch pipe,NA,07-03-2013,Atmospheric,Atmospheric corrosion was found with 0 degradation of  6 inch pipe on 0 of surface area,NA,,,,,450,Medium,31-10-2023
